timestamp_utc,source_action,step,joint,servo_id,target_position,actual_position,signed_error,absolute_error,status,movement_in_direction,observed_motion_or_reached,final_moving,timed_out,command_target_missing_status,command_target_readback_verified,command_target_readback_value,final_error_field,final_hardware_error,observed_delta,details_json
2026-05-27T04:00:08.733720Z,gripper_monitored_motion,final_validation,gripper,6,1689,1684,-5,5,refused,true,true,0,false,false,false,not evidenced,5,0,45,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":5,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1684,""initial_present"":1639,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":45,""observed_motion_or_reached"":true,""poll_seconds"":1.0143821239471436,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1689,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:00:08.733720Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:01:37.835400Z,gripper_monitored_motion,final_validation,gripper,6,1484,1496,12,12,refused,true,true,0,false,false,false,not evidenced,12,0,-188,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":12,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1496,""initial_present"":1684,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":-188,""observed_motion_or_reached"":true,""poll_seconds"":1.0144007205963135,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1484,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:01:37.835400Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:02:27.249343Z,gripper_monitored_motion,final_validation,gripper,6,1541,1535,-6,6,refused,true,true,0,false,false,false,not evidenced,6,0,44,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":6,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1535,""initial_present"":1491,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":44,""observed_motion_or_reached"":true,""poll_seconds"":1.0140199661254883,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1541,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:02:27.249343Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:02:41.179532Z,gripper_monitored_motion,final_validation,gripper,6,1585,1580,-5,5,refused,true,true,0,false,false,false,not evidenced,5,0,45,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":5,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1580,""initial_present"":1535,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":45,""observed_motion_or_reached"":true,""poll_seconds"":1.0143647193908691,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1585,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:02:41.179532Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:03:13.680140Z,gripper_monitored_motion,final_validation,gripper,6,1565,1571,6,6,refused,true,true,0,false,false,false,not evidenced,6,0,-9,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":6,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1571,""initial_present"":1580,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":-9,""observed_motion_or_reached"":true,""poll_seconds"":1.0142326354980469,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1565,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:03:13.680140Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:03:39.503649Z,gripper_monitored_motion,final_validation,gripper,6,1556,1561,5,5,refused,true,true,0,false,false,false,not evidenced,5,0,-10,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":5,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1561,""initial_present"":1571,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":-10,""observed_motion_or_reached"":true,""poll_seconds"":1.0141181945800781,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1556,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:03:39.503649Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:04:03.822613Z,gripper_monitored_motion,final_validation,gripper,6,1546,1555,9,9,refused,true,true,0,false,false,false,not evidenced,9,0,-6,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":9,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1555,""initial_present"":1561,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":-6,""observed_motion_or_reached"":true,""poll_seconds"":1.013711929321289,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1546,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:04:03.822613Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:04:22.662793Z,gripper_monitored_motion,final_validation,gripper,6,1540,1551,11,11,refused,true,true,0,false,false,false,not evidenced,11,0,-4,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":11,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1551,""initial_present"":1555,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":-4,""observed_motion_or_reached"":true,""poll_seconds"":1.0141713619232178,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1540,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:04:22.662793Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:04:56.610585Z,gripper_monitored_motion,final_validation,gripper,6,1521,1539,18,18,refused,true,true,0,false,false,false,not evidenced,18,0,-12,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":18,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1539,""initial_present"":1551,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":-12,""observed_motion_or_reached"":true,""poll_seconds"":1.0138351917266846,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1521,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:04:56.610585Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:05:36.365297Z,gripper_monitored_motion,final_validation,gripper,6,1489,1517,28,28,refused,true,true,0,false,false,false,not evidenced,28,0,-22,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":28,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1517,""initial_present"":1539,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":-22,""observed_motion_or_reached"":true,""poll_seconds"":1.0148828029632568,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1489,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:05:36.365297Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:06:18.404849Z,gripper_monitored_motion,final_validation,gripper,6,1469,1506,37,37,refused,true,true,0,false,false,false,not evidenced,37,0,-13,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":37,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1506,""initial_present"":1519,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":-13,""observed_motion_or_reached"":true,""poll_seconds"":1.0146429538726807,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1469,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:06:18.404849Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:11:33.694320Z,gripper_monitored_motion,final_validation,gripper,6,1530,1528,-2,2,ok,true,true,0,false,false,false,not evidenced,2,0,18,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":2,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1528,""initial_present"":1510,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":18,""observed_motion_or_reached"":true,""poll_seconds"":0.20429491996765137,""servo_id"":6,""status"":""ok"",""step"":""final_validation"",""target"":1530,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:11:33.694320Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:11:45.925019Z,gripper_monitored_motion,final_validation,gripper,6,1548,1544,-4,4,refused,true,true,0,false,false,false,not evidenced,4,0,16,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":4,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1544,""initial_present"":1528,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":16,""observed_motion_or_reached"":true,""poll_seconds"":1.0134811401367188,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1548,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:11:45.925019Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:12:06.788888Z,gripper_monitored_motion,final_validation,gripper,6,1594,1588,-6,6,refused,true,true,0,false,false,false,not evidenced,6,0,44,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":6,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1588,""initial_present"":1544,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":44,""observed_motion_or_reached"":true,""poll_seconds"":1.0139639377593994,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1594,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:12:06.788888Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
2026-05-27T04:14:01.083797Z,gripper_monitored_motion,final_validation,gripper,6,1738,1734,-4,4,refused,true,true,0,false,false,false,not evidenced,4,0,146,"{""action"":""gripper_monitored_motion"",""command_target_missing_status"":false,""command_target_readback_value"":null,""command_target_readback_verified"":false,""final_error"":4,""final_hardware_error"":0,""final_inside_limits"":true,""final_moving"":0,""final_present"":1734,""initial_present"":1588,""min_observed_delta"":2,""movement_in_direction"":true,""near_target_error_limit"":3,""observed_delta"":146,""observed_motion_or_reached"":true,""poll_seconds"":1.0144116878509521,""servo_id"":6,""status"":""refused"",""step"":""final_validation"",""target"":1738,""timed_out"":false,""timestamp_utc"":""2026-05-27T04:14:01.083797Z"",""tolerance"":3,""tool"":""test_gripper_monitored_motion""}"
