timestamp_utc,event_kind,action,joint,servo_id,enabled,status,backend,dry_run,reason,error,details_json
2026-05-17T15:09:19.584592Z,write,servo_torque,,3,false,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":false,""servo_id"":3,""status"":""ok"",""timestamp_utc"":""2026-05-17T15:09:19.584592Z""}"
2026-05-17T15:39:09.665416Z,request,servo_torque_request,shoulder_pan,1,false,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":false,""joint"":""shoulder_pan"",""servo_id"":1,""status"":""attempting"",""timestamp_utc"":""2026-05-17T15:39:09.665416Z""}"
2026-05-17T15:39:09.666248Z,write,servo_torque,,1,false,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":false,""servo_id"":1,""status"":""ok"",""timestamp_utc"":""2026-05-17T15:39:09.666248Z""}"
2026-05-17T15:43:32.349958Z,request,servo_torque_request,shoulder_lift,2,false,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":false,""joint"":""shoulder_lift"",""servo_id"":2,""status"":""attempting"",""timestamp_utc"":""2026-05-17T15:43:32.349958Z""}"
2026-05-17T15:43:32.350779Z,write,servo_torque,,2,false,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":false,""servo_id"":2,""status"":""ok"",""timestamp_utc"":""2026-05-17T15:43:32.350779Z""}"
2026-05-17T15:51:14.777992Z,request,servo_torque_request,shoulder_pan,1,true,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":true,""joint"":""shoulder_pan"",""servo_id"":1,""status"":""attempting"",""timestamp_utc"":""2026-05-17T15:51:14.777992Z""}"
2026-05-17T15:51:14.779041Z,write,servo_torque,,1,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":1,""status"":""ok"",""timestamp_utc"":""2026-05-17T15:51:14.779041Z""}"
2026-05-17T15:51:33.552445Z,request,servo_torque_request,shoulder_lift,2,true,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":true,""joint"":""shoulder_lift"",""servo_id"":2,""status"":""attempting"",""timestamp_utc"":""2026-05-17T15:51:33.552445Z""}"
2026-05-17T15:51:33.553336Z,write,servo_torque,,2,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":2,""status"":""ok"",""timestamp_utc"":""2026-05-17T15:51:33.553336Z""}"
2026-05-17T15:52:12.199987Z,request,servo_torque_request,elbow_flex,3,true,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":true,""joint"":""elbow_flex"",""servo_id"":3,""status"":""attempting"",""timestamp_utc"":""2026-05-17T15:52:12.199987Z""}"
2026-05-17T15:52:12.200846Z,write,servo_torque,,3,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":3,""status"":""ok"",""timestamp_utc"":""2026-05-17T15:52:12.200846Z""}"
2026-05-17T15:52:28.007684Z,request,servo_torque_request,wrist_flex,4,true,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":true,""joint"":""wrist_flex"",""servo_id"":4,""status"":""attempting"",""timestamp_utc"":""2026-05-17T15:52:28.007684Z""}"
2026-05-17T15:52:28.008622Z,write,servo_torque,,4,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":4,""status"":""ok"",""timestamp_utc"":""2026-05-17T15:52:28.008622Z""}"
2026-05-17T15:52:46.515701Z,request,servo_torque_request,wrist_roll,5,true,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":true,""joint"":""wrist_roll"",""servo_id"":5,""status"":""attempting"",""timestamp_utc"":""2026-05-17T15:52:46.515701Z""}"
2026-05-17T15:52:46.516633Z,write,servo_torque,,5,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":5,""status"":""ok"",""timestamp_utc"":""2026-05-17T15:52:46.516633Z""}"
2026-05-17T15:53:07.608788Z,request,servo_torque_request,gripper,6,true,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":true,""joint"":""gripper"",""servo_id"":6,""status"":""attempting"",""timestamp_utc"":""2026-05-17T15:53:07.608788Z""}"
2026-05-17T15:53:07.609665Z,write,servo_torque,,6,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-17T15:53:07.609665Z""}"
2026-05-17T16:30:05.187959Z,request,servo_torque_request,gripper,6,false,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":false,""joint"":""gripper"",""servo_id"":6,""status"":""attempting"",""timestamp_utc"":""2026-05-17T16:30:05.187959Z""}"
2026-05-17T16:30:05.188839Z,write,servo_torque,,6,false,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":false,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-17T16:30:05.188839Z""}"
2026-05-17T16:36:39.450920Z,request,servo_torque_request,gripper,6,true,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":true,""joint"":""gripper"",""servo_id"":6,""status"":""attempting"",""timestamp_utc"":""2026-05-17T16:36:39.450920Z""}"
2026-05-17T16:36:39.451921Z,write,servo_torque,,6,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-17T16:36:39.451921Z""}"
2026-05-17T16:39:20.504065Z,request,servo_torque_request,gripper,6,false,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":false,""joint"":""gripper"",""servo_id"":6,""status"":""attempting"",""timestamp_utc"":""2026-05-17T16:39:20.504065Z""}"
2026-05-17T16:39:20.504889Z,write,servo_torque,,6,false,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":false,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-17T16:39:20.504889Z""}"
2026-05-17T16:42:30.358726Z,request,servo_torque_request,gripper,6,true,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":true,""joint"":""gripper"",""servo_id"":6,""status"":""attempting"",""timestamp_utc"":""2026-05-17T16:42:30.358726Z""}"
2026-05-17T16:42:30.359582Z,write,servo_torque,,6,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-17T16:42:30.359582Z""}"
2026-05-17T16:43:49.560832Z,request,servo_torque_request,gripper,6,false,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":false,""joint"":""gripper"",""servo_id"":6,""status"":""attempting"",""timestamp_utc"":""2026-05-17T16:43:49.560832Z""}"
2026-05-17T16:43:49.561811Z,write,servo_torque,,6,false,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":false,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-17T16:43:49.561811Z""}"
2026-05-17T16:49:03.140751Z,request,servo_torque_request,gripper,6,true,attempting,,,,,"{""action"":""servo_torque_request"",""enabled"":true,""joint"":""gripper"",""servo_id"":6,""status"":""attempting"",""timestamp_utc"":""2026-05-17T16:49:03.140751Z""}"
2026-05-17T16:49:03.142118Z,write,servo_torque,,6,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-17T16:49:03.142118Z""}"
2026-05-19T18:31:10.114198Z,write,servo_torque,,6,true,error,feetech,false,,No valid status response after register write to servo 6.,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""error"":""No valid status response after register write to servo 6."",""servo_id"":6,""status"":""error"",""timestamp_utc"":""2026-05-19T18:31:10.114198Z""}"
2026-05-19T18:44:27.719911Z,write,servo_torque,,6,false,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":false,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-19T18:44:27.719911Z""}"
